Menu,Calories,Fat_Calories,Total_Fat,Cholesterol,Sodium,Carbohydrates,Sugars,Protein
OREO® Hot Cocoa Blizzard - Mini,470,190,21,30,210,63,50,8
OREO® Hot Cocoa Blizzard - Small,800,320,35,50,380,111,86,14
OREO® Hot Cocoa Blizzard - Medium,1050,410,45,65,500,147,113,19
OREO® Hot Cocoa Blizzard - Large,1390,540,60,80,680,195,150,24
Reese's® Peanut Butter Cups Blizzard - Mini,360,130,14,30,170,50,43,9
Reese's® Peanut Butter Cups Blizzard - Small,570,210,23,45,290,79,68,15
Reese's® Peanut Butter Cups Blizzard - Medium,750,280,31,60,380,102,88,19
Reese's® Peanut Butter Cups Blizzard - Large,1000,380,42,80,510,136,118,25
Reese's® Take Five Blizzard - Mini,430,170,18,30,310,56,44,11
Reese's® Take Five Blizzard - Small,770,310,34,50,580,99,76,21
Reese's® Take Five Blizzard - Medium,1120,440,49,65,860,145,111,29
Reese's® Take Five Blizzard - Large,1510,590,66,90,1150,198,151,39
Royal New York Cheesecake Blizzard Filled with Strawberry - Mini,450,160,18,40,220,65,53,8
Royal New York Cheesecake Blizzard Filled with Strawberry - Small,750,290,32,75,380,102,82,14
Royal New York Cheesecake Blizzard Filled with Strawberry - Medium,1040,410,46,105,530,140,112,19
Royal New York Cheesecake Blizzard Filled with Strawberry - Large,1350,540,61,135,700,177,141,25
Royal Ultimate Choco Brownie Blizzard Filled with Fudge - Mini,480,190,21,30,220,68,55,9
Royal Ultimate Choco Brownie Blizzard Filled with Fudge - Small,770,300,34,45,350,107,86,14
Royal Ultimate Choco Brownie Blizzard Filled with Fudge - Medium,1040,410,45,65,480,146,117,19
Royal Ultimate Choco Brownie Blizzard Filled with Fudge - Large,1340,540,60,80,620,186,148,25
Snickers® Blizzard - Mini,350,100,12,30,150,53,45,8
Snickers® Blizzard - Small,610,180,20,50,260,92,78,14
Snickers® Blizzard - Medium,800,250,28,65,340,120,102,19
Snickers® Blizzard - Large,1060,320,36,80,450,162,138,24
Snickers® Brownie Blizzard - Mini,410,130,15,30,200,60,48,9
Snickers® Brownie Blizzard - Small,710,240,26,50,350,105,82,15
Snickers® Brownie Blizzard - Medium,1010,340,37,70,510,151,118,21
Snickers® Brownie Blizzard - Large,1350,450,50,90,680,203,158,28
Turtle Pecan Cluster Blizzard - Mini,430,200,22,30,160,51,42,8
Turtle Pecan Cluster Blizzard - Small,680,300,34,50,270,84,68,14
Turtle Pecan Cluster Blizzard - Medium,1020,470,52,65,390,123,99,18
Turtle Pecan Cluster Blizzard - Large,1370,640,71,85,510,165,132,24
Very Cherry Chip Blizzard - Mini,320,100,11,30,115,48,41,7
Very Cherry Chip Blizzard - Small,550,170,19,50,190,84,72,12
Very Cherry Chip Blizzard - Medium,730,230,25,65,250,113,97,16
Very Cherry Chip Blizzard - Large,920,290,32,80,310,143,122,20
Banana Shake - Large,750,240,27,75,310,109,88,21
